,,,Subject,Relationship,Object,Orginal Sentece
absence,absence,criminal_triples/case_11.txt,evidence,changed outcome in,absence of counsel 's error,"In particular, the ""assessment"" will primarily turn on ""a prediction whether,"" in the absence of counsel's error, ""the evidence"" of the defendant's innocence or guilt ""likely would have changed the outcome"" of the proceeding"
absent,absent,criminal_triples/case_11.txt,hypothetical trial,played out,absent error,"Rather than asking how a hypothetical trial would have played out absent the error, the Court considered whether there was an adequate showing that the defendant, properly advised, would have opted to go to trial"
accrual,accrual,criminal_triples/case_15.txt,Seventh Circuit,should determine,claim 's accrual date,"On remand, the Seventh Circuit should determine the claim's accrual date, unless it finds that the City has previously waived its timeliness argument"
acquitted,acquitted,criminal_triples/case_19.txt,she,was acquitted of,charges,"On appeal, Nelson's conviction was reversed for trial error, and on retrial, she was acquitted of all charges"
acutely,acutely,criminal_triples/case_17.txt,our approach,is acutely unfair by,ing,"(Nor do we agree with the dissent that our approach is ""acutely unfair to Alabama"" by not ""giv[ing] the State a fair chance to respond."
adversarial,adversarial,criminal_triples/case_17.txt,norm,is in,our adversarial system,"These limitations are at odds with the defense-expert model, which McWilliams characterizes as ""the norm in our adversarial system."
adversary,adversary,criminal_triples/case_17.txt,they,are,in our adversary system customarily performed by expert,"While it is possible for a neutral expert to provide these services, in our adversary system they are customarily performed by an expert working exclusively for one of the parties"
adverse,adverse,criminal_triples/case_11.txt,representation,prejudiced defendant by,ha adverse effect,"The Court in Strickland held that a defendant may establish a claim of ineffective assistance of counsel by showing that his ""counsel's representation fell below an objective standard of reasonableness"" and, as relevant here, that the representation prejudiced the defendant by ""actually ha[ving] an adverse effect on the defense."
affected,affected,criminal_triples/case_13.txt,Tharpe 's race,affected,Gattie 's vote,Gattie's remarkable affidavit--which he never retracted--presents a strong factual basis for the argument that Tharpe's race affected Gattie's vote for a death verdict
against,against,criminal_triples/case_11.txt,Guilty pleas,are therefore entitled to,protections against collateral attack,"Guilty pleas, like completed trials, are therefore entitled to the protections against collateral attack that the Strickland prejudice standard affords"
aimed,aimed,criminal_triples/case_13.txt,Tharpe,aimed,shotgun,Tharpe aimed a shotgun at the car and ordered his wife to get into his truck
allegation,allegation,criminal_triples/case_13.txt,Tharpe 's allegation,was insufficient,he had failed,"Tharpe's allegation of ineffective assistance of counsel was insufficient to establish cause because he had ""failed to establish the requisite deficiency or prejudice."
allegations,allegations,criminal_triples/case_15.txt,we,accept as,factual allegations in complaint,"Because we here review an order dismissing Manuel's suit, we accept as true all the factual allegations in his complaint"
alleged,alleged,criminal_triples/case_15.txt,Illinois,calls,related information provided by alleged purchaser,Oliver testified at what Illinois calls a preliminary examination and apparently related the information provided by the alleged purchaser
allegedly,allegedly,criminal_triples/case_15.txt,they,were allegedly unsupported by,probable cause,"That the pretrial restraints in Albright arose pursuant to legal process made no difference, given that they were allegedly unsupported by probable cause"
alleges,alleges,criminal_triples/case_11.txt,defendant,alleges,his counsel 's performance,"When a defendant alleges his counsel's deficient performance led him to accept a guilty plea rather than go to trial, we do not ask whether, had he gone to trial, the result of that trial ""would have been different"" than the result of the plea bargain"
alleging,alleging,criminal_triples/case_15.txt,Manuel 's complaint,alleging,Amendment violation,"So the Seventh Circuit held that Manuel's complaint, in alleging only a Fourth Amendment violation, rested on the wrong part of the Constitution: A person detained following the onset of legal process could at most (although, the court agreed, not in Illinois) challenge his pretrial confinement via the Due Process Clause"
apprehended,apprehended,criminal_triples/case_17.txt,McWilliams,was,apprehended,"After McWilliams was apprehended, he bragged to other jail inmates about what he had done"
argued,argued,criminal_triples/case_11.txt,defendant,argued In,case,"In that case, the defendant argued that his counsel was constitutionally ineffective because he had failed to seek suppression of his confession before he pleaded no contest"
arguing,arguing,criminal_triples/case_15.txt,principal dissent,arguing for,speed,"In arguing for still greater speed, the principal dissent invoked the original meaning of ""the Fourth Amendment's prohibition of 'unreasonable seizures,' insofar as it applies to seizure of the person."
arraigned,arraigned,criminal_triples/case_15.txt,Manuel,is,arraigned,"April 8, 2011: Manuel is arraigned"
arraignments,arraignments,criminal_triples/case_11.txt,stages,include,arraignments,"Those stages include not only ""the entry of a guilty plea,"" but also ""arraignments, postindictment interrogation, [and] postindictment lineups."
arrest,arrest,criminal_triples/case_12.txt,he,sequence of,events from offense to his arrest to trial,"In Dr. Goff's opinion, however, Madison does not ""understan[d] the act that . . . he is being punished for"" because he cannot recall ""the sequence of events from the offense to his arrest to the trial or any of those details"" and believes that he ""never went around killing folks."
arrested,arrested,criminal_triples/case_15.txt,they,Still arrested,Manuel,"Still, they arrested Manuel and took him to the police station"
avoiding,avoiding,criminal_triples/case_15.txt,Court 's decision,avoiding,question presented,The Court's decision today violates that rule by avoiding the question presented in order to reach an unnecessary and tricky issue
avoids,avoids,criminal_triples/case_17.txt,Court,avoids,that,The Court avoids that outcome by means of a most unseemly maneuver
ban,ban,criminal_triples/case_18.txt,AAIDD,enact,flat ban looking,"But the stringency of their caution differs, with the AAIDD seeming to enact a flat ban on ever looking to functioning in prison and the DSM urging ""if possible"" to consider ""corroborative information reflecting functioning outside"" of prison"
bar,bar,criminal_triples/case_11.txt,Strickland,has,high bar,"Surmounting Strickland's high bar is never an easy task, Padilla v. Kentucky, 559 U. S. 356, 371 (2010), and the strong societal interest in finality has ""special force with respect to convictions based on guilty pleas."
barred,barred,criminal_triples/case_15.txt,applicable two-year statute,barred,his arrest claim,"The District Court dismissed Manuel's suit, holding, first, that the applicable two-year statute of limitations barred his unlawful arrest claim, and, second, that under binding Circuit precedent, pretrial detention following the start of legal process (here, the judge's probable-cause determination) could not give rise to a Fourth Amendment claim"
brutally,brutally,criminal_triples/case_17.txt,McWilliams,brutally raped Reynolds in,back room,"McWilliams robbed the store, brutally raped Reynolds in a back room, then left her on the floor to die after shooting her six times execution style with a .38 caliber pistol"
burden,burden,criminal_triples/case_19.txt,State,has,burden prove,"Other procedures cited by Colorado--the need for probable cause to support criminal charges, the jury-trial right, and the State's burden to prove guilt beyond a reasonable doubt--do not address the risk faced by a defendant whose conviction has been overturned that she will not recover funds taken from her based solely on a conviction no longer valid"
burdens,burdens,criminal_triples/case_20.txt,law,arbitrarily burdens,registered sex offenders,"Rather, the law ""arbitrarily burdens all registered sex offenders by preventing a wide range of communication and expressive activity unrelated to achieving its purported goal."
callously,callously,criminal_triples/case_13.txt,its disposition,callously delays,justice,"And its unusual disposition of his case callously delays justice for Jaquelin Freeman, the black woman who was brutally murdered by Tharpe 27 years ago"
challenge,challenge,criminal_triples/case_11.txt,challenge,will,will highly fact-intensive undertaking,"Under the Court's standard, a challenge to a guilty plea will be a highly fact-intensive, defendant-specific undertaking"
challenged,challenged,criminal_triples/case_14.txt,he,nonetheless challenged,restitution amount,"When he nonetheless challenged the restitution amount before the Eleventh Circuit, the Government argued that he had forfeited his right to do so by failing to file a second notice of appeal"
challenging,challenging,criminal_triples/case_15.txt,He,challenging,constitutionality,"He then brought a §1983 suit, challenging the constitutionality of the search that led to the discovery of the drugs on which his criminal charge was based"
charge,charge,criminal_triples/case_11.txt,Lee,has,defense to charge,"At an evidentiary hearing, both Lee and his plea-stage counsel testified that ""deportation was the determinative issue"" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial"
charges,charges,criminal_triples/case_15.txt,policeman,based on,unfounded charges,"The §1983 plaintiff in Albright complained of various pretrial restraints imposed after a court found probable cause to issue an arrest warrant, and then bind him over for trial, based on a policeman's unfounded charges"
charging,charging,criminal_triples/case_15.txt,sworn complaint,charging Manuel with,possession substance,"On the basis of those false statements, another officer filed a sworn complaint charging Manuel with unlawful possession of a controlled substance"
coerced,coerced,criminal_triples/case_20.txt,United States,coerced,child,"See, e.g., Himko v. English, 2016 WL 7645584, *1 (ND Fla., Dec. 5, 2016) (a convicted rapist and registered sex offender ""contacted a sixteen-year-old girl using . . . Facebook"" and then exchanged explicit text messages and photographs with her), report and recommendation adopted, 2017 WL 54246 (Jan. 4, 2017); Roberts v. United States, 2015 WL 7424858, *2-*3 (SD Ohio, Nov. 23, 2015) (the defendant ""met a then 14-year-old child online via a social networking website called vampirefreaks.com"" and then enticed the child to his home and ""coerced the child to perform oral sex on him""), report and recommendation adopted, 2016 WL 112647 (Jan. 8, 2016), certificate of appealability denied, No. 16-3050 (CA6 June 15, 2016); State v. Murphy, 2016-0901, p. 3 (La"
cognizant,cognizant,criminal_triples/case_13.txt,Court,is cognizant of,weakness of Tharpe 's claims,The Court is cognizant of the weakness of Tharpe's claims
combat,combat,criminal_triples/case_20.txt,State,seeks,combat,"They stated that the law impermissibly ""creates a criminal prohibition of alarming breadth and extends well beyond the evils the State seeks to combat."
conceded,conceded,criminal_triples/case_11.txt,Government,conceded On,appeal,"On appeal, the Government conceded that the performance of Lee's attorney had been deficient"
concur,concur,criminal_triples/case_19.txt,I,concur For,reasons,"For these reasons, I concur only in the judgment"
confession,confession,criminal_triples/case_11.txt,he,seek,suppression of his confession,"In that case, the defendant argued that his counsel was constitutionally ineffective because he had failed to seek suppression of his confession before he pleaded no contest"
confinement,confinement,criminal_triples/case_15.txt,person,could challenge,his confinement,"So the Seventh Circuit held that Manuel's complaint, in alleging only a Fourth Amendment violation, rested on the wrong part of the Constitution: A person detained following the onset of legal process could at most (although, the court agreed, not in Illinois) challenge his pretrial confinement via the Due Process Clause"
confuses,confuses,criminal_triples/case_18.txt,Today 's opinion,confuses,roles,"Today's opinion confuses those roles, and I respectfully dissent"
contrary,contrary,criminal_triples/case_11.txt,he,was contrary to,so his attorney 's advice subject to deportation as result,"Lee had in fact pleaded guilty to an ""aggravated felony"" under the Immigration and Nationality Act, 8 U. S. C. §1101(a)(43)(B), so he was, contrary to his attorney's advice, subject to mandatory deportation as a result of that plea"
convict,convict,criminal_triples/case_16.txt,it,convict,Marinello of Omnibus Clause violation,"The judge instructed the jury that, to convict Marinello of an Omnibus Clause violation, it must find that he ""corruptly"" engaged in at least one of eight specified activities, but the jury was not told that it needed to find that Marinello knew he was under investigation and intended corruptly to interfere with that investigation"
convicted,convicted,criminal_triples/case_11.txt,he,would convicted at,trial,"The attorney advised Lee that going to trial was ""very risky"" and that, if he pleaded guilty, he would receive a lighter sentence than he would if convicted at trial"
conviction,conviction,criminal_triples/case_11.txt,he,vacate,his conviction,"When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance"
convictions,convictions,criminal_triples/case_11.txt,criminal convictions,percent of are,result,"Given that more than 90 percent of criminal convictions are the result of guilty pleas, Frye, 566 U. S., at 143, the burden of holding evidentiary hearings on these claims could be significant"
corruptly,corruptly,criminal_triples/case_16.txt,he,corruptly engaged in,at least one of eight specified activities,"The judge instructed the jury that, to convict Marinello of an Omnibus Clause violation, it must find that he ""corruptly"" engaged in at least one of eight specified activities, but the jury was not told that it needed to find that Marinello knew he was under investigation and intended corruptly to interfere with that investigation"
counter,counter,criminal_triples/case_18.txt,medical profession,counter,stereotypes,"The medical profession has endeavored to counter lay stereotypes, and the Briseno factors are an outlier, in comparison both to other States' handling of intellectual-disability pleas and to Texas' own practices in contexts other than the death penalty"
courtesy,courtesy,criminal_triples/case_18.txt,three,heading,straight to courtesy booth staffed,"After negotiating their respective shares of the money they intended to steal and donning disguises, the three went inside, heading straight to a courtesy booth staffed by James McCarble and Edna Scott"
criminal,criminal,criminal_triples/case_11.txt,criminal conviction,affect,his status,"Although he has lived in this country for most of his life, Lee is not a United States citizen, and he feared that a criminal conviction might affect his status as a lawful permanent resident"
criminals,criminals,criminal_triples/case_20.txt,criminals,might receive,benefits for access,"Even convicted criminals--and in some instances especially convicted criminals--might receive legitimate benefits from these means for access to the world of ideas, particularly if they seek to reform and to pursue lawful and rewarding lives"
criticized,criticized,criminal_triples/case_18.txt,She,criticized,majority,"She criticized the majority for relying on manuals superseded in the medical community, id., at 530-534, 536-539, and for disregarding the habeas court's credibility determinations, id., at 535-536, 538-539"
cruelty,cruelty,criminal_triples/case_12.txt,cruelty,periods between,death sentence,And we may well have to consider the ways in which lengthy periods of imprisonment between death sentence and execution can deepen the cruelty of the death penalty while at the same time undermining its penological rationale
culpability,culpability,criminal_triples/case_16.txt,distinction,meaningful difference in,culpability,"For the same reason, we find unconvincing the dissent's argument that the distinction between ""willfully"" and ""corruptly""--at least as defined by the Government--reflects any meaningful difference in culpability"
custody,custody,criminal_triples/case_15.txt,Manuel,remained in,custody,"But Manuel remained in custody, spending a total of 48 days in pretrial detention"
cut,cut,criminal_triples/case_15.txt,effect,cut off,Manuel 's claim on date,The effect of that view would be to cut off Manuel's claim on the date of his grand jury indictment (March 30)--even though that indictment (like the County Court's probable-cause proceeding) was entirely based on false testi-mony and even though Manuel remained in detention for 36 days longer
damages,damages,criminal_triples/case_15.txt,individual,may seek,damages,"By the same token, an individual may seek damages for pretrial Fourth Amendment violations even after a valid conviction"
damaging,damaging,criminal_triples/case_19.txt,Court 's disregard,is,particularly damaging,The Court's disregard of historical practice is particularly damaging when it comes to the question of restitution
decline,decline,criminal_triples/case_19.txt,petitioners,decline,invoke,"In the absence of any property right under state law (apart from the right provided by the Exoneration Act, which petitioners decline to invoke), Colorado's refusal to return the money is not a ""depriv[ation]"" of ""property"" within the meaning of the Fourteenth Amendment"
defects,defects,criminal_triples/case_14.txt,court,may overlook defects in,notice of appeal other than failure to timely file notice,"The court of appeals may, in its discretion, overlook defects in a notice of appeal other than the failure to timely file a notice"
deficiencies,deficiencies,criminal_triples/case_17.txt,deficiencies,were suggestive of,right hemisphere lesion,"These deficiencies were ""suggestive of a right hemisphere lesion"" and ""compatible with the injuries [McWilliams] sa[id] he sustained as a child."
deficiency,deficiency,criminal_triples/case_13.txt,he,establish,requisite deficiency,"Tharpe's allegation of ineffective assistance of counsel was insufficient to establish cause because he had ""failed to establish the requisite deficiency or prejudice."
deficient,deficient,criminal_triples/case_11.txt,counsel,has,deficient performance,"(a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a ""reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial."
deficits,deficits,criminal_triples/case_18.txt,significant adaptive deficits,is in,three skill sets,"And relying on testimony from mental-health professionals, the court found significant adaptive deficits in all three skill sets (conceptual, social, and practical)"
deleted,deleted,criminal_triples/case_16.txt,Congress,deleted,therein,"But Congress subsequently deleted the word ""therein,"" leaving only a broadly worded prohibition against obstruction of ""the due administration of justice."
denial,denial,criminal_triples/case_11.txt,Court,affirmed,denial,The Court of Appeals for the Sixth Circuit affirmed the denial of relief
denied,denied,criminal_triples/case_11.txt,District Court,however denied,relief,"The District Court, however, denied relief, and the Sixth Circuit affirmed"
deportation,deportation,criminal_triples/case_11.txt,he,face,deportation,"During the plea process, Lee repeatedly asked his attorney whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty"
deported,deported,criminal_triples/case_11.txt,Lee,be deported,weak,"At an evidentiary hearing, both Lee and his plea-stage counsel testified that ""deportation was the determinative issue"" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial"
depression,depression,criminal_triples/case_18.txt,poor effort,experiencing,depression,"The CCA found, however, that Moore's score was unlikely to be in the lower end of the error-generated range because he was likely exerting poor effort and experiencing depression at the time the test was administered--both factors that Moore's experts agreed could artificially deflate IQ scores"
deprivation,deprivation,criminal_triples/case_15.txt,deprivation,occurs,legal process commences,"And so too, a later decision indicates, those objecting to a pretrial deprivation of liberty may invoke the Fourth Amendment when (as here) that deprivation occurs after legal process commences"
deprivations,deprivations,criminal_triples/case_15.txt,deprivations,were pursuant to,process,"That the deprivations at issue were pursuant to legal process made no difference, given that they were (allegedly) unsupported by probable cause; indeed, neither of the two opinions so much as mentioned that procedural circumstance"
deprived,deprived,criminal_triples/case_17.txt,Court,was thus deprived of,benefit of briefing on issue,"Narrow holdings have their place, but here: (1) We denied review of the narrow question; (2) the question decided is not just narrow, it is the sort of factbound question as to which review is disfavored, see this Court's Rule 10; (3) the narrow question is not fairly included in the question presented, see this Court's Rule 14(a); (4) deciding the case on this narrow ground leaves in place the conflict in the lower courts that supported the grant of certiorari; and (5) the parties were not given notice of this possible disposition, and the Court was thus deprived of the benefit of full briefing and argument on the issue"
depriving,depriving,criminal_triples/case_15.txt,person,depriving,person,"The term ""seizure"" applies most directly to the act of taking a person into custody or otherwise depriving the person of liberty"
detain,detain,criminal_triples/case_15.txt,probable cause,detain,Manuel,"Relying exclusively on that complaint, a county court judge found probable cause to detain Manuel pending trial"
detained,detained,criminal_triples/case_15.txt,person,is,detained,"Once a person is detained pursuant to legal process, the court stated, ""the Fourth Amendment falls out of the picture and the detainee's claim that the detention is improper becomes [one of] due process."
detaining,detaining,criminal_triples/case_15.txt,Fourth Amendment,detaining,person absent probable cause,The Fourth Amendment prohibits government officials from detaining a person absent probable cause
detracted,detracted,criminal_triples/case_18.txt,Moore 's record,detracted along with,history,"(2) The CCA further concluded that Moore's record of academic failure, along with a history of childhood abuse and suffering, detracted from a determination that his intellectual and adaptive deficits were related"
differ,differ,criminal_triples/case_16.txt,language,here differ,sure,"To be sure, the language and history of the provision at issue here differ somewhat from that of other obstruction provisions we have considered in the past"
difference,difference,criminal_triples/case_16.txt,requirement,will make difference in,context of federal tax prosecutions,"The Government claims that the ""corrupt state of mind"" requirement will cure any overbreadth problem, but it is difficult to imagine a scenario when that requirement will make a practical difference in the context of federal tax prosecutions"
differences,differences,criminal_triples/case_16.txt,us,ignore precedents because of,differences,The Government and the dissent urge us to ignore these precedents because of those differences
different,different,criminal_triples/case_11.txt,result,been different for,counsel 's unprofessional errors,"A defendant raising such a claim can demonstrate prejudice by showing ""a reasonable probability that, but for counsel's unprofessional errors, the result of the proceeding would have been different."
differentiate,differentiate,criminal_triples/case_16.txt,mens rea requirements,differentiate culpability For,reason,"For that reason, different mens rea requirements often differentiate culpability for the same conduct"
differently,differently,criminal_triples/case_18.txt,persons,be,treated differently under clinical standards than under Texas ' capital system,"After observing that persons with ""mild"" intellectual disability might be treated differently under clinical standards than under Texas' capital system, the CCA defined its objective as identifying the ""consensus of Texas citizens"" on who ""should be exempted from the death penalty."
differs,differs,criminal_triples/case_18.txt,stringency,differs,AAIDD seeming,"But the stringency of their caution differs, with the AAIDD seeming to enact a flat ban on ever looking to functioning in prison and the DSM urging ""if possible"" to consider ""corroborative information reflecting functioning outside"" of prison"
disabled,disabled,criminal_triples/case_18.txt,Moore,qualified as,disabled,"A state habeas court subsequently determined that, under Atkins v. Virginia, 536 U. S. 304, and Hall v. Florida, 572 U. S. ___, Moore qualified as intellectually disabled and that his death sentence therefore violated the Eighth Amendment's proscription of ""cruel and unusual punishments."
disagreement,disagreement,criminal_triples/case_12.txt,error,was beyond,possibility for fairminded disagreement,"A habeas petitioner meets this demanding standard only when he shows that the state court's decision was ""so lacking in justification that there was an error well understood and comprehended in existing law beyond any possibility for fairminded disagreement."
disagrees,disagrees,criminal_triples/case_17.txt,majority,disagrees with,with Court decision,"If the majority disagrees with the Court of Appeals' decision on that question, it should explain its reasons, but the majority is unwilling to tackle that matter and instead recites that ""we are a court of review, not first view."
disapproval,disapproval,criminal_triples/case_18.txt,finding,is in,personal disapproval,"As Justice Frankfurter cautioned, ""[o]ne must be on guard against finding in personal disapproval a reflection of more or less prevailing condemnation."
disfavor,disfavor,criminal_triples/case_17.txt,practice disfavor questions,see,Court 's Rule 10,"Our Rules and practice disfavor questions of this nature, see this Court's Rule 10, and we denied review"
dismissed,dismissed,criminal_triples/case_14.txt,His notice,was dismissed as,premature,"His notice of appeal was dismissed as premature under Federal Rule of Criminal Procedure 37(a)(2), which then governed notices of appeal in criminal cases"
dismissing,dismissing,criminal_triples/case_17.txt,dismissing cases,improvidently granted on,ground,"Visa, Inc. v. Osborn, 580 U. S. ___ (2016) (internal quotation marks omitted) (dismissing cases as improvidently granted on this ground)"
disorder,disorder,criminal_triples/case_17.txt,McWilliams,had,thought disorder,"McWilliams also described his history of psychiatric and psychological evaluations, reading from the prearrest report of one psychologist, who concluded that McWilliams had a ""blatantly psychotic thought disorder"" and needed inpatient treatment"
